کارنامه سال,سهمیه,قبولی,رتبه سهمیه زیرگروه ۱,رتبه سهمیه زیرگروه ۲,رتبه سهمیه زیرگروه ۳,رتبه سهمیه زیرگروه ۴,معدل موثر,زبان انگلیسی,مجموعه ریاضیات,دروس تخصصی ۱,دروس تخصصی ۲,دروس تخصصی ۳,دروس تخصصی ۴,رتبه کشور زیرگروه ۱,رتبه کشور زیرگروه ۲,رتبه کشور زیرگروه ۳,رتبه کشور زیرگروه ۴,میانگین درصد ضریب ۱,میانگین درصد ضریب ۲,میانگین درصد ضریب ۳,میانگین درصد ضریب ۴
1404,0,-,216,219,205,198,20.00,100.00,33.33,6.67,40.00,33.33,26.67,234,237,221,205,33.78,32.89,34.22,34.67
1404,0,-,218,277,286,263,15.94,70.67,0.00,30.00,31.67,31.67,61.67,236,298,307,283,37.82,35.71,35.82,35.82
1404,0,هوش مصنوعی شهید بهشتی,220,189,203,194,16.94,8.00,8.33,50.00,48.33,48.33,35.00,238,205,219,210,36.98,37.98,37.86,37.86
1404,0,هوش مصنوعی شهید بهشتی,222,191,156,183,17.89,4.00,10.00,60.00,41.67,68.33,20.00,240,207,169,197,36.93,37.82,40.16,38.38
1404,0,نرم افزار علم و صنعت,226,316,210,257,17.21,0.00,3.33,40.00,26.67,65.00,46.67,244,341,226,277,36.56,33.56,37.78,35.22
1404,0,نرم افزار علم و صنعت,227,272,238,247,16.66,28.00,3.33,40.00,33.33,48.33,48.33,245,293,255,266,36.86,35.31,36.86,35.86
1404,0,-,227,297,287,287,18.78,40.00,0.00,0.00,0.00,0.00,35.00,"2,111","2,640","2,640","2,598",12.00,9.67,9.67,9.67
1404,0,هوش مصنوعی علم و صنعت,228,134,282,188,19.19,33.33,40.00,50.00,51.67,5.00,28.33,246,147,303,204,33.11,37.67,31.56,34.67
1404,0,هوش مصنوعی تربیت مدرس,229,262,170,218,17.99,44.00,0.00,50.00,28.33,73.33,26.67,247,283,183,237,37.04,35.60,40.15,37.15
1404,0,هوش مصنوعی علم و صنعت,233,191,220,243,18.28,54.67,10.00,80.00,21.67,41.67,30.00,251,207,237,262,36.31,38.31,37.09,35.76
1404,0,معماری امیرکبیر,234,220,245,219,17.20,44.00,0.00,40.00,45.00,41.67,40.00,252,238,262,238,36.27,36.49,36.38,36.60
1404,0,-,237,310,210,290,18.79,32.00,0.00,60.00,11.67,63.33,40.00,255,330,226,312,35.80,33.69,37.36,33.91
1404,0,-,240,305,279,277,16.12,48.00,23.33,30.00,26.67,38.33,48.33,258,328,299,299,36.20,34.20,35.53,34.75
1404,0,نرم افزار علم و صنعت,242,211,262,191,17.00,66.67,0.00,10.00,61.67,30.00,33.33,260,229,280,207,33.00,33.56,32.78,34.89
1404,0,نرم افزار علم و صنعت,242,211,262,191,20.00,66.67,0.00,10.00,61.67,30.00,33.33,260,229,280,207,33.00,33.56,32.78,34.89
1404,0,-,243,208,202,211,19.89,52.00,18.33,53.33,31.67,46.67,20.00,261,226,218,230,34.02,35.24,35.80,34.80
1404,0,شبکه‌های کامپیوتری امیرکبیر,245,311,290,313,19.21,25.33,0.00,43.33,21.67,40.00,53.33,263,334,311,338,34.02,32.13,33.13,31.91
1404,0,هوش مصنوعی تربیت مدرس,247,291,252,265,17.70,66.67,0.00,40.00,28.33,46.67,41.67,265,313,271,285,35.89,34.56,36.22,35.00
1404,0,نرم افزار علم و صنعت,248,282,293,254,17.00,66.67,15.00,16.67,36.67,28.33,43.33,266,304,316,273,33.22,32.00,32.22,32.78
1404,0,هوش مصنوعی شهید بهشتی,249,201,296,242,19.39,78.67,0.00,50.00,38.33,21.67,38.33,267,217,319,261,34.13,36.02,33.02,34.13
1404,0,-,261,188,242,201,16.68,0.00,16.67,46.67,56.67,40.00,28.33,279,204,259,217,35.33,37.67,36.11,37.22
1404,0,نرم افزار شهید بهشتی,265,194,347,251,18.58,25.33,18.33,50.00,43.33,10.00,43.33,284,210,373,270,33.02,35.69,30.80,33.02
1404,0,هوش مصنوعی خواجه نصیر نوبت دوم,271,297,208,298,18.88,8.00,5.00,40.00,31.67,35.00,50.00,290,319,333,320,33.20,32.31,32.20,31.98
1404,0,شبکه‌های کامپیوتری تهران,272,322,303,344,19.83,12.00,0.00,50.00,18.33,40.00,51.67,291,347,328,371,32.91,31.36,32.13,30.69
